link, home_team, away_team
/livescores/3561937/matchfacts/la-galaxy-vs-portland-timbers,LA Galaxy,Portland Timbers
/livescores/3561938/matchfacts/new-york-red-bulls-vs-new-york-city-fc,New York Red Bulls,New York City FC
/livescores/3561993/matchfacts/vancouver-whitecaps-vs-sporting-kansas-city,Vancouver Whitecaps,Sporting Kansas City
/livescores/3561939/matchfacts/atlanta-united-vs-new-york-city-fc,Atlanta United,New York City FC
/livescores/3561941/matchfacts/dc-united-vs-new-england-revolution,DC United,New England Revolution
/livescores/3561940/matchfacts/fc-cincinnati-vs-chicago-fire-fc,FC Cincinnati,Chicago Fire FC
/livescores/3561994/matchfacts/inter-miami-cf-vs-toronto-fc,Inter Miami CF,Toronto FC
/livescores/3561995/matchfacts/orlando-city-vs-cf-montreal,Orlando City,CF Montreal
/livescores/3561942/matchfacts/fc-dallas-vs-los-angeles-fc,FC Dallas,Los Angeles FC
/livescores/3561943/matchfacts/minnesota-united-vs-philadelphia-union,Minnesota United,Philadelphia Union
